word,count
s u p e r i o r i t y,2
A r y a n,1
i n f e r i o r i t y,1
J e w s,1
u n d e s i r a b l e s,1
G e r m a n y,2
g i v e,5
o f f,3
p e a c e f u l,1
i m a g e,1
s e c r e t l y,1
p r e p a r i n g,1
W h e n,2
a p a r t h e i d,2
S o u t h,5
A f r i c a,5
p a r t i c u l a r l y,4
a d o p t e d,2
c o n s c i e n t i o u s,1
a p p r o a c h,6
a p p e a r,2
f e e l,2
e f f e c t i v e,1
c o n t r i b u t i o n,1
e v e n t u a l,2
d e m o l i t i o n,1
p r o l o n g e d,1
r e i n f o r c e d,1
w o r s t,1
e f f e c t s,4
h i s t o r y,132
I r e l a n d,1
G a e l i c,5
c o n n e c t e d,3
c u l t u r a l,16
n a t i o n a l i s m,3
U n t i l,3
m i d - 2 0 t h,1
c o u l d,5
h u r l i n g,1
a d m i n i s t e r e d,1
A t h l e t i c,1
G A A,3
s h e / h e,1
s u p p o r t e d,5
s e e n,5
B r i t i s h,4
o r i g i n,1
r e c e n t l y,2
b a n,3
R u l e,3
4 2,1
s t i l l,4
e n f o r c e d,1
C r o k e,1
P a r k,3
L a n s d o w n e,1
R o a d,3
r e d e v e l o p e d,1
A v i v a,1
S t a d i u m,1
u n d e r,17
2 1,2
m e m b e r s,5
s e c u r i t y,2
f o r c e s,10
R U C,1
G o o d,1
F r i d a y,1
A g r e e m e n t,1
r e m o v a l,1
N a t i o n a l i s m,2
e v i d e n t,1
p u r s u i t,2
r e p o r t i n g,1
c o m p e t e,2
c o m m e n t a t o r s,1
a d o p t,1
p a r t i s a n,1
v i e w,4
O n,5
o c c a s i o n,1
t e n s i o n s,1
l e a d,2
c o n f r o n t a t i o n,1
a m o n g,3
b e y o n d,1
F o o t b a l l,1
W a r,16
c o n t r a r y,1
f u n d a m e n t a l,1
c a r r i e d,3
p o l i t i c s,6
c o l l i d e d,1
1 9 7 2,2
M u n i c h,2
M a s k e d,1
e n t e r e d,2
h o t e l,1
I s r a e l i,1
k i l l e d,5
m a s s a c r e,1
s t u d y,24
e l e c t i o n s,2
s h o w n,1
a f f e c t,2
p u b l i s h e d,2
P r o c e e d i n g s,1
N a t i o n a l,16
A c a d e m y,1
S c i e n c e s,1
s h o w e d,2
h o m e,3
w i n s,2
b e f o r e,9
e l e c t i o n,16
i n c u m b e n t,2
c a n d i d a t e s,1
s h a r e,1
v o t e,2
1 . 5,1
p e r,1
c e n t,1
l o s s,3
o p p o s i t e,1
g r e a t e r,1
h i g h e r - p r o f i l e,1
u n e x p e c t e d,1
l o s s e s,1
A l s o,2
W a s h i n g t o n,3
R e d s k i n s,3
p r e s i d e n t,4
l i k e l y,2
l o s e,1
o p p o s i t i o n,9
c a n d i d a t e,1
c o n t r o l l i n g,2
s u b d u i n g,1
p o p u l a t i o n s,3
É t i e n n e,1
L a,3
B o é t i e,1
h i s,22
e s s a y,1
D i s c o u r s e,1
V o l u n t a r y,1
S e r v i t u d e,1
d e s c r i b e s,2
s p e c t a c l e s,2
t y r a n t s,1
s u b j e c t s,2
d i s t r a c t i n g,1
t h e m,12
D o,1
i m a g i n e,1
b i r d,2
e a s i l y,2
c a u g h t,2
d e c o y,1
n o r,2
f i s h,5
s o o n e r,1
f i x e d,1
h o o k,1
w o r m y,1
b a i t,2
p o o r,1
f o o l s,1
n e a t l y,1
t r i c k e d,1
s e r v i t u d e,1
s l i g h t e s t,2
f e a t h e r,1
p a s s e d,3
s p e a k,1
m o u t h s,1
T r u l y,1
m a r v e l l o u s,1
l e t,1
t h e m s e l v e s,10
q u i c k l y,3
t i c k l i n g,1
f a n c y,1
P l a y s,1
f a r c e s,1
g l a d i a t o r s,1
s t r a n g e,1
b e a s t s,1
m e d a l s,1
p i c t u r e s,2
o p i a t e s,1
p e o p l e s,2
s l a v e r y,4
p r i c e,1
l i b e r t y,2
i n s t r u m e n t s,1
t y r a n n y,1
B y,6
p r a c t i c e s,4
e n t i c e m e n t s,1
d i c t a t o r s,1
s u c c e s s f u l l y,3
l u l l e d,1
y o k e,1
s t u p e f i e d,1
f a s c i n a t e d,1
p a s t i m e s,1
v a i n,1
p l e a s u r e s,1
f l a s h e d,1
e y e s,1
l e a r n e d,1
s u b s e r v i e n c e,1
n a ï v e l y,1
c r e d i t a b l y,1
